model,train_dataset,test_dataset,shot,seed,category,auroc,aupr
mvtec_va_ta_pqa_8shot,mvtec,visa,8,123,pcb2,0.8301,0.8357
mvtec_va_ta_pqa_8shot,mvtec,visa,8,123,pcb3,0.8857,0.8898
mvtec_va_ta_pqa_8shot,mvtec,visa,8,123,pcb4,0.9354,0.9171
mvtec_va_ta_pqa_8shot,mvtec,visa,8,123,pipe_fryum,0.9952,0.9977
mvtec_va_ta_pqa_8shot,mvtec,visa,8,7,candle,0.9796,0.9808
mvtec_va_ta_pqa_8shot,mvtec,visa,8,7,capsules,0.8648,0.9255
mvtec_va_ta_pqa_8shot,mvtec,visa,8,7,cashew,0.9608,0.9828
mvtec_va_ta_pqa_8shot,mvtec,visa,8,7,chewinggum,0.9806,0.992
mvtec_va_ta_pqa_8shot,mvtec,visa,8,7,fryum,0.9454,0.9781
mvtec_va_ta_pqa_8shot,mvtec,visa,8,7,macaroni1,0.8658,0.8791
mvtec_va_ta_pqa_8shot,mvtec,visa,8,7,macaroni2,0.8164,0.833
mvtec_va_ta_pqa_8shot,mvtec,visa,8,7,pcb1,0.811,0.8331
mvtec_va_ta_pqa_8shot,mvtec,visa,8,7,pcb2,0.8132,0.8272
mvtec_va_ta_pqa_8shot,mvtec,visa,8,7,pcb3,0.8806,0.8792
mvtec_va_ta_pqa_8shot,mvtec,visa,8,7,pcb4,0.9311,0.9077
mvtec_va_ta_pqa_8shot,mvtec,visa,8,7,pipe_fryum,0.9936,0.9969
mvtec_va_ta_pqa_8shot,mvtec,aitex,8,42,AITEX,0.7983,0.4797
mvtec_va_ta_pqa_8shot,mvtec,aitex,8,123,AITEX,0.7974,0.4971
mvtec_va_ta_pqa_8shot,mvtec,aitex,8,7,AITEX,0.8051,0.5078
mvtec_va_ta_pqa_8shot,mvtec,elpv,8,42,elpv,0.8818,0.9434
mvtec_va_ta_pqa_8shot,mvtec,elpv,8,123,elpv,0.8841,0.9443
mvtec_va_ta_pqa_8shot,mvtec,elpv,8,7,elpv,0.8785,0.9417
visa_va_ta_pqa_2shot,visa,mvtec,2,42,bottle,0.9984,0.9995
visa_va_ta_pqa_2shot,visa,mvtec,2,42,cable,0.9397,0.9663
visa_va_ta_pqa_2shot,visa,mvtec,2,42,capsule,0.773,0.8969
visa_va_ta_pqa_2shot,visa,mvtec,2,42,carpet,0.9984,0.9995
visa_va_ta_pqa_2shot,visa,mvtec,2,42,grid,0.9983,0.9994
visa_va_ta_pqa_2shot,visa,mvtec,2,42,hazelnut,0.9986,0.9992
visa_va_ta_pqa_2shot,visa,mvtec,2,42,leather,1.0,1.0
visa_va_ta_pqa_2shot,visa,mvtec,2,42,metal_nut,1.0,1.0
visa_va_ta_pqa_2shot,visa,mvtec,2,42,pill,0.9654,0.9936
visa_va_ta_pqa_2shot,visa,mvtec,2,42,screw,0.6915,0.8717
visa_va_ta_pqa_2shot,visa,mvtec,2,42,tile,0.9953,0.9982
visa_va_ta_pqa_2shot,visa,mvtec,2,42,toothbrush,1.0,1.0
visa_va_ta_pqa_2shot,visa,mvtec,2,42,transistor,0.9267,0.8853
visa_va_ta_pqa_2shot,visa,mvtec,2,42,wood,0.9895,0.9968
visa_va_ta_pqa_2shot,visa,mvtec,2,42,zipper,0.9779,0.994
visa_va_ta_pqa_2shot,visa,mvtec,2,123,bottle,0.9992,0.9998
visa_va_ta_pqa_2shot,visa,mvtec,2,123,cable,0.9438,0.9678
visa_va_ta_pqa_2shot,visa,mvtec,2,123,capsule,0.8297,0.9263
visa_va_ta_pqa_2shot,visa,mvtec,2,123,carpet,0.9996,0.9999
visa_va_ta_pqa_2shot,visa,mvtec,2,123,grid,0.9983,0.9994
visa_va_ta_pqa_2shot,visa,mvtec,2,123,hazelnut,0.9982,0.999
visa_va_ta_pqa_2shot,visa,mvtec,2,123,leather,1.0,1.0
visa_va_ta_pqa_2shot,visa,mvtec,2,123,metal_nut,0.9976,0.9994
visa_va_ta_pqa_2shot,visa,mvtec,2,123,pill,0.9534,0.9912
visa_va_ta_pqa_2shot,visa,mvtec,2,123,screw,0.7098,0.8746
visa_va_ta_pqa_2shot,visa,mvtec,2,123,tile,0.9949,0.9981
visa_va_ta_pqa_2shot,visa,mvtec,2,123,toothbrush,0.9972,0.9989
visa_va_ta_pqa_2shot,visa,mvtec,2,123,transistor,0.93,0.8988
visa_va_ta_pqa_2shot,visa,mvtec,2,123,wood,0.9886,0.9965
visa_va_ta_pqa_2shot,visa,mvtec,2,123,zipper,0.9693,0.9918
visa_va_ta_pqa_2shot,visa,mvtec,2,7,bottle,0.996,0.9987
visa_va_ta_pqa_2shot,visa,mvtec,2,7,cable,0.9282,0.9625
visa_va_ta_pqa_2shot,visa,mvtec,2,7,capsule,0.7475,0.892
visa_va_ta_pqa_2shot,visa,mvtec,2,7,carpet,0.9988,0.9996
visa_va_ta_pqa_2shot,visa,mvtec,2,7,grid,0.9983,0.9994
visa_va_ta_pqa_2shot,visa,mvtec,2,7,hazelnut,0.9982,0.999
visa_va_ta_pqa_2shot,visa,mvtec,2,7,leather,1.0,1.0
